"Year","P.cod","Flatfish","Other","Total","retained"
1997,160,86,3,249,NA
1998,168,13,9,190,NA
1999,310,14,2,326,NA
2000,359,57,3,419,NA
2001,211,9,7,227,NA
2002,334,21,19,374,NA
2003,224,32,21,277,31
2004,278,44,246,569,55
2005,311,17,10,339,64
2006,331,5,14,350,55
2007,156,7,9,171,41
2008,196,11,8,215,36
2009,58,10,6,73,22
2010,168,12,5,185,29
2011,555,9,14,577,6
2012,126,4,8,137,17
2013,214,2,4,220,22
2014,406,5,18,429,20
2015,412,6,24,441,18
2016,554,5,34,593,16
2017,264,4,13,282,31
2018,262,4,23,290,59
2019,238,13,17,268,48
2020,672,3,16,691,21
2021,154,8,8,170,13
2022,222,8,21,251,29
2023,81,5,35,120,49
