year	biomass_EBS_shelf	biomass_AI	biomass_EBS_slope	cv_EBS_shelf	cv_AI	cv_EBS_slope
1987	7829.01315	NA	NA	51.72433939304215	NA	NA
1988	9865.359919	NA	NA	29.378772280191857	NA	NA
1989	4894.936409	NA	NA	32.724649061226465	NA	NA
1990	11589.067374	NA	NA	48.346648986383364	NA	NA
1991	8069.856927	NA	NA	33.571133036687264	NA	NA
1991	NA	1159.0856740000002	NA	NA	19.852391028995925	NA
1992	5607.345424	NA	NA	41.82249464561939	NA	NA
1993	1582.48207	NA	NA	33.92983025293792	NA	NA
1994	2479.647034	NA	NA	39.477909666568465	NA	NA
1994	NA	1726.564641	NA	NA	19.330624225376173	NA
1995	2934.372311	NA	NA	59.27969618926249	NA	NA
1996	1809.119882	NA	NA	67.85937638891238	NA	NA
1997	254.36734	NA	NA	39.541079751472196	NA	NA
1997	NA	1219.071311	NA	NA	25.071821027880414	NA
1998	1285.385498	NA	NA	51.073546976992525	NA	NA
1999	833.82617	NA	NA	51.773907457853284	NA	NA
2000	2028.457217	NA	NA	40.88711390226864	NA	NA
2000	NA	788.4369340000001	NA	NA	30.404258201714413	NA
2001	5885.183636	NA	NA	31.54118884021636	NA	NA
2002	2501.793066	NA	NA	43.60728035320051	NA	NA
2002	NA	1392.749299	NA	NA	28.25529056762853	NA
2002	NA	NA	970.558012	NA	NA	17.786252405169513
2003	8253.655015	NA	NA	46.12577511416095	NA	NA
2004	4953.929169	NA	NA	30.780547088355952	NA	NA
2004	NA	4095.456464	NA	NA	34.365140478257025	NA
2004	NA	NA	1979.753851	NA	NA	14.029077038419995
2005	10215.394399	NA	NA	28.253661786823	NA	NA
2006	1904.2586649999998	NA	NA	34.282160205561425	NA	NA
2006	NA	3061.813939	NA	NA	17.064753529806744	NA
2007	2275.984853	NA	NA	28.581538034747272	NA	NA
2008	1170.407326	NA	NA	42.444367696821026	NA	NA
2008	NA	NA	781.209732	NA	NA	16.56147291645141
2009	1013.3561729999999	NA	NA	52.84682619877164	NA	NA
2010	810.935962	NA	NA	47.868826624783814	NA	NA
2010	NA	3075.200771	NA	NA	30.28277209954472	NA
2010	NA	NA	621.3148000000001	NA	NA	15.328316926759959
2011	3540.958334	NA	NA	29.605946255723005	NA	NA
2012	2566.096352	NA	NA	32.30480792564633	NA	NA
2012	NA	2779.312411	NA	NA	41.749368772238284	NA
2012	NA	NA	1418.7330670000001	NA	NA	21.232853612150887
2013	1813.149618	NA	NA	48.608092091384094	NA	NA
2014	2333.900951	NA	NA	48.683308696226156	NA	NA
2014	NA	2844.582344	NA	NA	19.76935960308731	NA
2015	5337.609856	NA	NA	30.05876701299437	NA	NA
2016	7442.277135	NA	NA	43.516216527159216	NA	NA
2016	NA	3832.664114	NA	NA	23.77571349926458	NA
2016	NA	NA	2262.831713	NA	NA	13.15856852429453
2017	4017.1535519999998	NA	NA	24.463483400990025	NA	NA
2018	5251.407353	NA	NA	26.34661058335438	NA	NA
2018	NA	2274.164191	NA	NA	39.078671368658306	NA
2019	5916.168993	NA	NA	24.12610171332603	NA	NA
2021	5053.6900670000005	NA	NA	30.523812237873866	NA	NA
2022	4941.0709	NA	NA	26.16414628426548	NA	NA
2022	NA	1505.408406	NA	NA	23.147929631223988	NA
2023	2557.4108019999994	NA	NA	31.90632654177855	NA	NA
